ts_utc,open,high,low,close,volume,amount,source
1788104400,2477.7,2479.62,2477.7,2479.62,16.1727892,40087.288800834001,kucoin_legacy
1788104700,2479.8,2483.64,2478.94,2478.95,69.4488978,172334.282042987994,kucoin_legacy
1788105000,2478.94,2481.19,2478.39,2479.35,37.96016322,94109.342904635807,kucoin_legacy
1788105300,2479.18,2480.96,2478.67,2480.84,65.66740137,162861.003212752199,kucoin_legacy
1788105600,2481.33,2488.7,2479.03,2487.03,115.4258285,286988.315119425999,kucoin_legacy
1788105900,2486.71,2488.36,2483.68,2483.88,80.3522667,199702.063988245005,kucoin_legacy
1788106200,2483.88,2513.73,2482.94,2510.07,779.7126447,1951156.880673687905,kucoin_legacy
1788106500,2510.25,2519.35,2506.98,2516.95,599.4070038,1507685.353037625086,kucoin_legacy
1788106800,2517.1,2517.1,2509.23,2515.88,242.7039905,609683.432733895956,kucoin_legacy
1788107100,2516.08,2517.23,2513.05,2513.42,133.738074639702,336270.204908547399,kucoin_legacy
1788107400,2513.42,2517.76,2512.23,2516.57,129.528132,325697.804063834017,kucoin_legacy
1788107700,2517.32,2525.97,2516.89,2521.71,345.3818455,870879.506424978958,kucoin_legacy
1788108000,2521.51,2534.24,2521.51,2528.63,177.3702218,448632.963866706006,kucoin_legacy
1788108300,2528.75,2530.87,2525.7,2526.03,105.441986,266551.378327323997,kucoin_legacy
1788108600,2526.02,2528.26,2521.47,2522.18,80.2406774,202610.950283462997,kucoin_legacy
1788108900,2522.18,2529.68,2521.02,2529.02,72.0959111,182145.788904451998,kucoin_legacy
1788109200,2528.4,2528.4,2521.73,2523.19,52.9918068,133794.003164355003,kucoin_legacy
1788109500,2523.2,2524.13,2519.56,2522.05,203.9404523,514424.100660655997,kucoin_legacy
1788109800,2521.61,2523.92,2519.86,2520.52,104.5773093,263702.889733237971,kucoin_legacy
1788110100,2520.52,2520.52,2506.59,2509.68,171.8699555,431821.456556137011,kucoin_legacy
